Date,Time, MagX , MagY , MagZ , AccX , AccY , AccZ , GyroX , GyroY , GyroZ , Temp , Humid , Roll , Pitch , Yaw
2021/10/13,42:21.6,43.75,35.375,125,0.025,-0.002,1.032,0.03,-0.122,-0.03,30.06,30.94,-1.32,0,140.04
2021/10/13,42:22.6,41.75,29.5,128.125,0.026,-0.002,1.029,0.061,-0.091,0,30.06,30.97,-1.47,-0.17,140.12
2021/10/13,42:23.6,42.375,32.125,128.5,0.025,-0.002,1.03,-0.061,-0.061,-0.061,30.06,30.97,-1.46,-0.17,140.12
2021/10/13,42:24.6,44.75,32.625,131.375,0.025,-0.001,1.031,0.03,-0.091,-0.03,30.08,30.98,-1.51,-0.22,140.16
2021/10/13,42:25.6,39.25,35.125,124.875,0.024,-0.001,1.032,-0.091,-0.122,-0.03,30.1,30.98,-1.23,0.08,140
2021/10/13,42:26.6,42.25,33.625,130.375,0.025,-0.003,1.032,0,-0.091,0,30.11,30.99,-1.26,0.04,140
2021/10/13,42:27.6,42.5,34.375,129.125,0.025,-0.002,1.032,-0.03,-0.091,-0.03,30.14,30.98,-1.25,0.05,139.97
2021/10/13,42:28.6,44.5,30.125,131.25,0.025,-0.001,1.033,0,-0.061,-0.03,30.14,30.97,-1.47,-0.22,140.09
2021/10/13,42:29.6,44.625,31.625,130.125,0.024,-0.002,1.033,0.03,-0.03,-0.03,30.14,30.96,-1.54,-0.31,140.16
2021/10/13,42:30.6,44.375,32.5,130.625,0.025,-0.002,1.032,0,-0.091,-0.03,30.14,30.96,-1.54,-0.31,140.18
2021/10/13,42:31.6,46,35.125,133.875,0.025,-0.001,1.032,0.061,-0.03,-0.03,30.12,30.94,-1.49,-0.23,140.16
2021/10/13,42:32.6,42.25,29.25,130.875,0.025,-0.001,1.033,-0.03,-0.061,-0.061,30.14,30.93,-1.57,-0.32,140.22
2021/10/13,42:33.6,42.875,31.875,120.75,0.024,-0.002,1.033,-0.03,-0.091,0,30.16,30.94,-1.54,-0.3,140.23
2021/10/13,42:34.6,45.5,36.5,129.125,0.025,-0.002,1.033,0,-0.03,0,30.17,30.92,-1.41,-0.15,140.17
2021/10/13,42:35.6,42.5,36.5,131.75,0.025,-0.002,1.03,-0.03,-0.061,0,30.14,30.91,-1.25,0.04,140.06
2021/10/13,42:36.6,43.75,29.375,129.375,0.026,-0.002,1.031,0,-0.091,0.03,30.16,30.89,-1.48,-0.24,140.2
2021/10/13,42:37.6,42.875,37.25,129.5,0.025,-0.001,1.032,0,-0.091,-0.03,30.17,30.89,-1.26,0.02,140.06
2021/10/13,42:38.6,43.75,34.5,130.125,0.024,-0.002,1.032,0,-0.122,0.03,30.18,30.88,-1.28,0.01,140.06
2021/10/13,42:39.5,41.375,31.875,130.375,0.025,0,1.032,0,0.03,0,30.18,30.86,-1.32,-0.01,140.07
2021/10/13,42:40.6,48.125,32,130.75,0.025,-0.001,1.031,0,-0.061,-0.091,30.17,30.85,-1.56,-0.3,140.22
2021/10/13,42:41.6,43.375,31.75,128.75,0.026,-0.001,1.032,-0.061,-0.091,-0.03,30.17,30.83,-1.57,-0.29,140.24
2021/10/13,42:42.6,44.875,31.875,129.125,0.025,-0.002,1.032,-0.03,-0.091,-0.061,30.21,30.83,-1.61,-0.34,140.28
