Date ,Time, MagX , MagY , MagZ , AccX , AccY , AccZ , GyroX , GyroY , GyroZ , Temp , Roll , Pitch , Yaw
2021/10/13,15:11.8,45.25,-8194.375,139.25,-0.009,-0.023,1.035,0,0.03,-0.03,27.91,-3.02,8.13,-119.28
2021/10/13,15:12.8,46.875,-16386.5,139.125,-0.011,-0.025,1.035,0.03,0.03,-0.03,27.92,-2.89,6.36,-113.46
2021/10/13,15:13.8,48.5,-8195.25,141.375,-0.01,-0.024,1.034,0.061,0.061,0.03,27.91,-2.51,4.87,-108.7
2021/10/13,15:14.8,48.25,-3.875,138.25,-0.009,-0.023,1.035,0.03,0.03,0.03,27.94,-4.09,5.75,-109.67
2021/10/13,15:15.8,50.375,-24578.75,138.75,-0.011,-0.023,1.034,0,-0.03,0.03,27.94,-3.4,4.36,-105.61
2021/10/13,15:16.8,47.25,-8195.625,140.375,-0.009,-0.023,1.034,-0.03,0,0.03,27.94,-2.7,3.21,-102.37
2021/10/13,15:17.8,47.125,-16386.125,136.125,-0.009,-0.023,1.034,0.03,0.03,0.061,27.93,-2.11,2.29,-99.77
2021/10/13,15:18.8,48.125,-24576.5,143.375,-0.009,-0.024,1.034,-0.061,-0.03,0.061,27.97,-1.59,1.53,-97.69
2021/10/13,15:19.8,49.75,-16390,139.5,-0.01,-0.024,1.032,0.061,0,0.03,27.96,-1.15,0.93,-96.07
2021/10/13,15:20.8,50.25,-16387.125,140.375,-0.008,-0.024,1.033,-0.03,-0.03,0.061,27.99,-0.81,0.45,-94.79
2021/10/13,15:21.8,50.875,-8195.375,144.875,-0.009,-0.024,1.034,-0.03,0.03,0.03,28.02,-0.5,0.06,-93.83
2021/10/13,15:22.8,47.625,-16387,143.75,-0.009,-0.024,1.033,0.03,0,0.061,27.98,-0.28,-0.24,-93.03
2021/10/13,15:23.7,49.5,-24576.125,140.625,-0.008,-0.024,1.033,0,0,0,28,-0.11,-0.47,-92.4
2021/10/13,15:24.7,51.375,-8196.625,142.625,-0.01,-0.023,1.033,-0.061,-0.03,0,27.98,0.04,-0.65,-91.96
2021/10/13,15:25.7,47,-8195.25,139.375,-0.01,-0.024,1.033,0,0,0,27.97,0.16,-0.8,-91.61
2021/10/13,15:26.7,50.25,24574.625,141.125,-0.01,-0.024,1.033,0.061,-0.061,0,28.01,0.24,-1.11,-91.99
2021/10/13,15:27.7,49.75,-24576.75,139.75,-0.009,-0.024,1.034,0.061,0,0.061,27.96,0.3,-1.16,-91.58
2021/10/13,15:28.7,45.75,-4.875,140,-0.01,-0.025,1.033,0,0.061,0.03,28.01,-3.22,2.44,-93.03
2021/10/13,15:29.7,46,-16386.375,141.875,-0.01,-0.023,1.034,0,0.03,0.03,27.99,-2.42,1.64,-92.4
2021/10/13,15:30.7,43.25,-16387.125,140.875,-0.01,-0.023,1.034,0,-0.03,0.061,28.01,-1.78,1.01,-91.9
2021/10/13,15:31.7,47,16383.625,141.875,-0.009,-0.023,1.035,0.03,0.03,0.061,28.01,-1.27,1.17,-92.34
2021/10/13,15:32.7,46.75,-16385.125,143,-0.01,-0.022,1.034,0.03,0,0.061,28.04,-0.88,0.66,-91.86
2021/10/13,15:33.7,47.625,-8195.125,141.625,-0.009,-0.022,1.033,0.03,0,0,28.06,-0.58,0.25,-91.53
2021/10/13,15:34.7,45.625,-4.625,141.125,-0.009,-0.023,1.034,0.03,0.03,0.061,28.07,-3.75,3.12,-92.83
2021/10/13,15:35.7,50,-8194.5,142.75,-0.009,-0.023,1.034,0,0,0.061,28.06,-2.84,2.17,-92.27
2021/10/13,15:36.7,49.25,-24576.5,142,-0.01,-0.024,1.034,-0.03,-0.03,0.061,28.09,-2.12,1.41,-91.79
2021/10/13,15:37.7,47.5,-16387.5,142.25,-0.009,-0.024,1.034,0,0,0,28.11,-1.55,0.82,-91.43
2021/10/13,15:38.7,47.75,-16386.875,139.625,-0.009,-0.024,1.034,0.061,0,0.03,28.09,-1.1,0.36,-91.15
2021/10/13,15:39.7,49.125,-24579.125,143.125,-0.01,-0.023,1.035,0,0,0.061,28.1,-0.74,0.01,-90.92
2021/10/13,15:40.7,52.125,32765.75,139,-0.01,-0.023,1.033,0.03,-0.03,0.03,28.11,-0.46,-0.16,-91.14
2021/10/13,15:41.7,52.5,-3.5,145.25,-0.009,-0.021,1.035,0,0,0.03,28.12,-4.03,3.38,-92.77
2021/10/13,15:42.7,49,-16385.875,138.625,-0.01,-0.023,1.035,0.03,-0.061,0.061,28.13,-3.06,2.38,-92.2
2021/10/13,15:43.7,48,-8195.375,143.75,-0.009,-0.023,1.035,0,0,0.03,28.17,-2.3,1.59,-91.78
2021/10/13,15:44.7,51.625,-24575.625,136.5,-0.009,-0.022,1.035,0,0,0.061,28.17,-1.7,0.98,-91.41
2021/10/13,15:45.7,43.875,32765,142.25,-0.009,-0.022,1.035,0,-0.061,0.03,28.18,-1.22,1.04,-91.72
2021/10/13,15:46.7,52,-8194.125,142.75,-0.01,-0.023,1.035,0.061,0,0.122,28.18,-0.84,0.55,-91.42
2021/10/13,15:47.7,51.375,-1.875,141.5,-0.009,-0.023,1.035,-0.03,0,0.091,28.22,-4.26,3.84,-93
2021/10/13,15:48.7,49.125,-8195.75,138.875,-0.009,-0.023,1.035,0,0,0.061,28.22,-3.25,2.75,-92.41
